Prompt_ID,Model,Category,Prompt,Response,Tests,Correctness,Completeness,Instruction_Following,Format_Compliance,Response_length (words),Conciseness,Hallucination,Confidence,Overall_Score,Notes
P01,GEMINI 3.1 PRO,Instruction Following,"Explain what overfitting is in 35 words. Do not use the words machine, model, or data.","Overfitting occurs when a system memorizes specific training examples perfectly, including random noise, rather than learning underlying patterns. Because of this extreme memorization, the system fails completely when it encounters new or unseen outside situations.","* Instruction following
* Word counting
* Constraint satisfaction",3,3,3,3,35,3,FALSE,3,3,Accurate and concise.
P01,Z.ai (GLM 4.7),Instruction Following,"Explain what overfitting is in 35 words. Do not use the words machine, model, or data.","Overfitting occurs when you simply memorize specific details instead of learning the true underlying patterns. This causes excellent performance on past examples, but guarantees total failure when facing any new, completely unfamiliar and unseen situations.","* Instruction following
* Word counting
* Constraint satisfaction",3,3,3,3,35,3,FALSE,3,3,Accurate and concise.
P01,GPT-5.5,Instruction Following,"Explain what overfitting is in 35 words. Do not use the words machine, model, or data.","Overfitting occurs when a learned system memorizes training examples too closely, capturing noise instead of general patterns, causing excellent practice performance but poor results on new, unseen examples or situations because flexibility exceeded necessary complexity.
","* Instruction following
* Word counting
* Constraint satisfaction",3,3,3,3,35,3,FALSE,3,3,Accurate and concise.
P02,GEMINI 3.1 PRO,Instruction Following,"Return only valid JSON representing a fictional employee named Sarah who is 28 years old, works as a Data Analyst, earns 65000, and has the skills Python, SQL, and Power BI. Do not include any explanation.","{
""name"": ""Sarah"",
""age"": 28,
""role"": ""Data Analyst"",
""salary"": 65000,
""skills"": [
""Python"",
""SQL"",
""Power BI""
]
}","* JSON formatting
* Structure
* Extra text leakage",2,3,3,2,14,3,FALSE,3,2.8,Works but not perfect. (Correct indentation is preferred)
P02,Z.ai (GLM 4.7),Instruction Following,"Return only valid JSON representing a fictional employee named Sarah who is 28 years old, works as a Data Analyst, earns 65000, and has the skills Python, SQL, and Power BI. Do not include any explanation.","{
  ""name"": ""Sarah"",
  ""age"": 28,
  ""jobTitle"": ""Data Analyst"",
  ""salary"": 65000,
  ""skills"": [
    ""Python"",
    ""SQL"",
    ""Power BI""
  ]
}","* JSON formatting
* Structure
* Extra text leakage",3,3,3,3,14,3,FALSE,3,3,Acurate and concise.
P02,GPT-5.5,Instruction Following,"Return only valid JSON representing a fictional employee named Sarah who is 28 years old, works as a Data Analyst, earns 65000, and has the skills Python, SQL, and Power BI. Do not include any explanation.","{""name"":""Sarah"",""age"":28,""jobTitle"":""Data Analyst"",""salary"":65000,""skills"":[""Python"",""SQL"",""Power BI""]}
","* JSON formatting
* Structure
* Extra text leakage",2,3,3,2,14,3,FALSE,3,2.8,"Works but not perfect. (Correct indentation is preferred)
"
P03,GEMINI 3.1 PRO,Instruction Following,Give exactly five cybersecurity tips. Every tip must begin with a different verb and contain no more than eight words.,"1. Use unique passwords for all your accounts.
2. Enable two-factor authentication whenever it is offered.
3. Update software immediately to patch security flaws.
4. Ignore suspicious links sent via unexpected emails.
5. Store important data on an external drive.",* Multiple simultaneous constraints,3,3,3,3,40,3,FALSE,3,3,Accurate and concise.
P03,Z.ai (GLM 4.7),Instruction Following,Give exactly five cybersecurity tips. Every tip must begin with a different verb and contain no more than eight words.,"Use strong passwords.
Enable multi-factor authentication.
Update software regularly.
Avoid suspicious links.
Backup important data.",* Multiple simultaneous constraints,3,2,3,2,15,2,FALSE,3,2.6,Numbering the tips is preferred. Not utilizing the max word count is not preferred.
P03,GPT-5.5,Instruction Following,Give exactly five cybersecurity tips. Every tip must begin with a different verb and contain no more than eight words.,"Enable two-factor authentication everywhere.
Update software promptly.
Verify sender identities before clicking links.
Back up important data regularly.
Avoid reused passwords completely.
",* Multiple simultaneous constraints,3,2,3,2,22,2,FALSE,3,2.6,Numbering the tips is preferred. Not utilizing the max word count is not preferred.
P04,GEMINI 3.1 PRO,Multi-step Reasoning,A company has 120 employees. Forty percent work remotely. Twenty-five percent of the remote employees are managers. How many remote managers are there? Show your reasoning.,"To find the number of remote managers, we can break the problem down into two steps:

Step 1: Find the total number of remote employees.

• The company has 120 employees in total.

• 40% of them work remotely.

• To find 40% of 120, multiply 120 by 0.40:

• 120 * 0.40 = 48

• So, there are 48 remote employees.

Step 2: Find the number of remote managers.

• Out of those 48 remote employees, 25% are managers.

• To find 25% of 48, multiply 48 by 0.25 (which is also the same as dividing by 4):

  48 * 0.25 = 12

There are 12 remote managers in the company.","* Arithmetic
* Multi-step reasoning
* Explanation quality
",3,3,3,3,112,2,FALSE,3,2.8,Accurate and concise.
P04,Z.ai (GLM 4.7),Multi-step Reasoning,A company has 120 employees. Forty percent work remotely. Twenty-five percent of the remote employees are managers. How many remote managers are there? Show your reasoning.,"There are 12 remote managers. 

Here is the step-by-step reasoning:

    1. Find the total number of remote employees: Forty percent of the 120 employees work remotely. 
         • 0.40 x 120 = 48 remote employees.

    2. Find the number of remote managers: Twenty-five percent of those 48 remote employees are managers. 
         • Since 25% is equal to one-quarter (1/4), you can simply divide 48 by 4.
         48 ÷ 4 = 12.

Therefore, there are 12 remote managers.","* Arithmetic
* Multi-step reasoning
* Explanation quality",3,3,3,3,76,2,FALSE,3,2.8,Accurate and concise.
P04,GPT-5.5,Multi-step Reasoning,A company has 120 employees. Forty percent work remotely. Twenty-five percent of the remote employees are managers. How many remote managers are there? Show your reasoning.,"First, find the number of remote employees:

• 40% of 120 = 0.40×120=48

Then find how many of those remote employees are managers:

• 25% of 48 = 0.25×48=12

Answer: 12 remote managers.","* Arithmetic
* Multi-step reasoning
* Explanation quality",3,3,3,3,33,3,FALSE,3,3,Accurate and concise.
P05,GEMINI 3.1 PRO,Multi-step Reasoning,A train travels 180 km in 2 hours and then 120 km in 3 hours. What is the overall average speed? Explain why averaging the two speeds directly gives the wrong answer.,"Here is the plain text version:

Calculating the Overall Average Speed

The formula for overall average speed is always: Average Speed = Total Distance / Total Time

Total Distance: 180 km + 120 km = 300 km
Total Time: 2 hours + 3 hours = 5 hours

Now, plug those into the formula:
Average Speed = 300 km / 5 hours = 60 km/h

The overall average speed of the train is 60 km/h.

Why Averaging the Two Speeds Directly is Wrong

Let's look at what happens if we try to just average the speeds of the two legs of the trip.

Speed of Leg 1: 180 km / 2 hours = 90 km/h
Speed of Leg 2: 120 km / 3 hours = 40 km/h

If you take a direct mathematical average of these two speeds: (90 + 40) / 2 = 65 km/h

Why is 65 km/h incorrect? Taking a simple average of the speeds assumes that the train spent an equal amount of time traveling at each speed. However, average speed in the real world is a time-weighted average.

In this journey, the train spent 2 hours going fast (90 km/h) but 3 hours going slow (40 km/h). Because the train spent more time traveling at the slower speed, the true average speed is pulled closer to 40 km/h than to 90 km/h. The direct average (65 km/h) completely ignores the fact that the train spent an extra hour dragging its feet at the slower pace.

The Rule of Thumb: Never average speeds directly unless the time spent traveling at each speed is exactly identical. Always go back to the fundamental rule: Total Distance / Total Time.","* Reasoning
* Mathematical understanding
* Misconception detection
",3,3,3,3,274,2,FALSE,3,2.8,Accurate but less words is preferred.
P05,Z.ai (GLM 4.7),Multi-step Reasoning,A train travels 180 km in 2 hours and then 120 km in 3 hours. What is the overall average speed? Explain why averaging the two speeds directly gives the wrong answer.,"Part 1: The Correct Calculation

To find the overall average speed, you must use the formula:
Average Speed = Total Distance / Total Time

1. Find the Total Distance: 180 km + 120 km = 300 km
2. Find the Total Time: 2 hours + 3 hours = 5 hours
3. Calculate Average Speed: 300 km / 5 hours = 60 km/h

The overall average speed is 60 km/h.


Part 2: Why Averaging the Speeds Directly is Wrong

If you calculate the speed for each leg of the journey, you get:
Leg 1: 180 km / 2 hours = 90 km/h
Leg 2: 120 km / 3 hours = 40 km/h

If you simply average these two numbers (90 + 40) / 2, you get 65 km/h. This is incorrect because a simple average assumes the train spent equal amounts of time at each speed.

Here is the breakdown of why that logic fails:

Time is not equal: The train spent 2 hours traveling at 90 km/h, but it spent 3 hours traveling at 40 km/h. 

The weight of the speeds: Because the train spent more time traveling at the slower speed, that slower speed has a greater influence on the overall average. It drags the average down.

The mathematical proof: To average speeds correctly, you must multiply each speed by the time spent at that speed (this is called a weighted average).
(90 km/h x 2 hours) + (40 km/h x 3 hours) = 180 + 120 = 300 km (This brings you right back to the Total Distance).
300 km / 5 hours = 60 km/h.

Summary rule of thumb: You can only do a simple average of two speeds (Speed A + Speed B) / 2 if the object spent the exact same amount of time at both speeds. In all other cases, you must use Total Distance divided by Total Time.","* Reasoning
* Mathematical understanding
* Misconception detection
",3,3,3,3,303,1,FALSE,3,2.6,Accurate but too many words used
P05,GPT-5.5,Multi-step Reasoning,A train travels 180 km in 2 hours and then 120 km in 3 hours. What is the overall average speed? Explain why averaging the two speeds directly gives the wrong answer.,"The overall average speed is not the average of the two speeds. Instead, it is:

Average speed = Total distance / Total time

Calculate the totals:

* First part: 180 km in 2 hours
* Second part: 120 km in 3 hours

So:

* Total distance = 180 + 120 = 300 km
* Total time = 2 + 3 = 5 hours

Therefore:

Average speed = 300 / 5 = 60 km/h

Answer: 60 km/h

Why averaging the two speeds directly is wrong:

The speeds for each segment are:

* First speed = 180 / 2 = 90 km/h
* Second speed = 120 / 3 = 40 km/h

A simple average gives:

(90 + 40) / 2 = 65 km/h

This is incorrect because it treats the two speeds as if they were maintained for equal amounts of the journey. In reality:

* The train traveled at 90 km/h for only 2 hours.
* It traveled at 40 km/h for 3 hours.

Since more time was spent at the slower speed, the slower speed has a greater influence on the overall average. Average speed must account for the actual distances and times, which is why we use:

Average speed = Total distance / Total time

rather than the arithmetic mean of the individual speeds.
","* Reasoning
* Mathematical understanding
* Misconception detection",3,3,3,3,193,3,FALSE,3,3,Accurate and concise.
